                   mean         std        2.5q         25q         50q        75q      97.5q       mc err
a_subj.5062     1.45025   0.0635093     1.33307     1.40549     1.44957    1.49218    1.58118   0.00183105
a_subj.5063     1.76493   0.0783412     1.62122     1.71383     1.76031    1.81327    1.93226   0.00260619
a_subj.5064     2.01469    0.113168     1.81119     1.93422     2.01041    2.08695    2.24612   0.00398171
a_subj.5065     1.79934   0.0978397     1.62124     1.73209     1.79464    1.86595    1.99464   0.00373269
a_subj.5066     1.83533   0.0890552     1.67161     1.77126     1.83009    1.89299    2.02111   0.00316149
a_subj.5067     2.32414    0.190682      2.0115     2.19189     2.30357    2.42836    2.77704    0.0100068
a_subj.5068     1.43527   0.0755558     1.30105     1.38044      1.4315    1.48425    1.59923   0.00259854
a_subj.5069      1.8941   0.0881949     1.73312     1.83308       1.888    1.95254    2.07809   0.00261436
a_subj.5070     1.71045   0.0615854     1.59403     1.66803     1.71041    1.75122    1.83386   0.00154662
a_subj.5071     1.67506   0.0685267     1.55075     1.62611     1.67235    1.71989    1.81265    0.0020172
a_subj.5072     1.08491   0.0436889    0.995182     1.05711     1.08479    1.11495    1.16854   0.00153582
a_subj.5073     1.74095   0.0882068     1.57794     1.67984     1.73677    1.79795    1.92637   0.00320916
a_subj.5074     1.59513   0.0709208     1.46302     1.54636     1.59098    1.64289    1.74028   0.00234361
a_subj.5075     2.27703    0.158513     1.99019     2.16614     2.26605      2.379    2.62473   0.00789348
a_subj.5076     1.93917    0.121425      1.7263     1.85451     1.93546    2.01576    2.19819   0.00475849
a_subj.5077     1.73044   0.0896999      1.5649     1.66941     1.72633    1.78795    1.92055   0.00296752
a_subj.5078     1.87213   0.0982183     1.69696     1.80305     1.86553    1.93683    2.07487   0.00336529
a_subj.5079     2.00447    0.125156     1.78207     1.91827     1.99599    2.08249    2.27854   0.00529103
a_subj.5080     2.04779    0.123995      1.8205     1.96305      2.0374     2.1287    2.31169   0.00556343
a_subj.5081     1.82307    0.101537      1.6307     1.75251     1.81971    1.89112    2.02936   0.00351784
a_subj.5082     1.60778   0.0645754      1.4921     1.56063      1.6055    1.65258    1.73748   0.00207811
a_subj.5083     1.81795   0.0845998     1.66079     1.75944     1.81208    1.87212    1.99175   0.00262783
a_subj.5084     2.21898    0.220547      1.8691     2.05874     2.19014    2.35048    2.72732    0.0142366
a_subj.5085     1.59166   0.0694349      1.4664     1.54151     1.58811    1.64015    1.73405    0.0020929
a_subj.5086     1.17857   0.0474168     1.09105     1.14578     1.17754    1.21044    1.27755   0.00132122
a_subj.5087     1.56603    0.095754     1.39102     1.50027     1.56353    1.62832    1.75811   0.00410804
a_subj.5088     1.98458    0.133648     1.75936     1.89214      1.9715    2.06329    2.28684   0.00639485
a_subj.5089      1.6819   0.0734514      1.5497     1.62947     1.68048     1.7274    1.83418   0.00199706
v               1.22344   0.0617682     1.10201     1.18247     1.22393    1.26279    1.34763   0.00132774
v_std          0.562352   0.0445822    0.481762    0.532186    0.560293   0.589854   0.657526   0.00109675
v_subj.5000   -0.183678    0.105059   -0.385714   -0.255325   -0.185196  -0.115794  0.0302828   0.00213548
v_subj.5001    0.647498    0.095407      0.4562    0.582342     0.64839   0.712498   0.838407   0.00193522
v_subj.5002     1.62868    0.128066     1.38531      1.5359     1.62734    1.71498    1.88806   0.00418185
v_subj.5003     1.63398    0.133047     1.37158     1.54498     1.63253    1.72055     1.9066   0.00472663
v_subj.5004     2.00003    0.146985     1.71739     1.90005     1.99518    2.09784    2.29173   0.00560102
v_subj.5005    0.824141    0.100272    0.631805    0.753998    0.825481   0.890798    1.02584   0.00206551
v_subj.5006     1.85228    0.140244     1.57868     1.75506     1.85249    1.95041     2.1174   0.00482621
v_subj.5007     1.75989    0.148953     1.46841     1.65979     1.75948    1.86068    2.05337   0.00436225
v_subj.5008     1.57144    0.125019     1.33656     1.48157     1.56769    1.65937    1.82066   0.00422437
v_subj.5009     1.80878    0.143023     1.52375     1.71596       1.806    1.90343    2.08749   0.00492773
v_subj.5010     1.27066    0.121806     1.02643     1.18942      1.2722    1.34943    1.51183   0.00294378
v_subj.5011     1.64914    0.134122     1.38282     1.56198     1.64605    1.73744    1.91261   0.00342425
v_subj.5012     1.49016    0.127747      1.2439     1.40772     1.49452    1.57252    1.74131   0.00295222
v_subj.5013    0.606206   0.0874286    0.433923    0.548343    0.607481   0.665094   0.779754   0.00187604
v_subj.5014    0.340783   0.0921834    0.162147    0.278859    0.341361   0.401508    0.52258   0.00189023
v_subj.5015     1.54339    0.118575     1.31094      1.4631      1.5424    1.62019    1.77765   0.00362917
v_subj.5016    0.458554   0.0985199    0.268056    0.390989    0.460459   0.526325   0.648406   0.00195122
v_subj.5017     1.58722    0.129709     1.34084     1.49787     1.58343    1.67534    1.84477   0.00447944
v_subj.5018     1.37587    0.121284     1.14049     1.29516     1.37294    1.45605    1.61053   0.00301982
